,City,Latitude,Longitude,Temp,Humidity,Clouds,Wind
0,rikitea,-23.12,-134.97,75.93,79,19,2.37
1,tongren,27.72,109.18,76.11,78,100,10.6
2,verkhnevilyuysk,63.45,120.31,67.83,34,40,6.4
3,jamestown,-33.21,138.6,55.23,45,0,9.13
4,qaanaaq,77.48,-69.36,22.65,91,98,2.89
5,barrow,-38.31,-60.23,58.47,67,100,20.62
6,sao filipe,14.9,-24.5,74.31,85,0,12.71
7,busselton,-33.64,115.35,66.99,24,84,34.0
8,mataura,-46.19,168.86,45.69,69,44,7.38
9,lodja,-3.52,23.6,65.85,68,0,1.74
10,vaini,15.34,74.49,77.0,78,40,12.75
11,albany,42.65,-73.75,55.99,76,90,1.99
12,evensk,61.92,159.24,58.47,53,73,4.41
13,nikolskoye,59.7,30.79,69.01,63,0,4.47
14,khatanga,71.98,102.47,51.99,62,46,3.67
15,matara,-13.74,-72.9,32.01,87,2,2.24
16,saint-pierre,48.95,4.24,64.4,93,54,3.36
17,qaqortoq,60.72,-46.03,46.4,52,28,5.82
18,richards bay,-28.77,32.06,71.61,58,11,21.59
19,vrangel,42.73,133.08,64.95,74,74,5.08
20,taltal,-25.41,-70.49,60.09,67,0,2.08
21,port alfred,-33.59,26.89,69.01,54,3,11.99
22,kruisfontein,-34.0,24.73,57.75,72,16,8.81
23,sioux lookout,50.1,-91.92,53.6,81,90,4.7
24,ushuaia,-54.81,-68.31,41.0,86,75,5.55
25,touros,-5.2,-35.46,75.2,94,0,4.7
26,hermanus,-34.42,19.24,60.01,70,60,18.99
27,port hedland,-20.31,118.58,75.2,17,0,24.16
28,chuy,-33.69,-53.46,59.01,64,3,11.18
29,castro,-42.48,-73.76,50.0,87,100,17.22
30,slave lake,55.28,-114.77,59.0,38,75,8.05
31,new norfolk,-42.78,147.06,53.6,50,75,26.4
32,ancud,-41.87,-73.83,50.0,87,1,17.22
33,bredasdorp,-34.53,20.04,60.01,62,13,23.04
34,mayo,63.59,-135.9,62.6,27,75,5.82
35,butaritari,3.07,172.79,84.93,79,83,14.58
36,saint george,39.45,22.34,60.8,93,75,3.22
37,narsaq,60.91,-46.05,44.6,56,28,4.7
38,madimba,4.42,9.93,75.2,94,75,2.24
39,kitimat,54.02,-128.69,50.0,81,75,14.99
40,yellowknife,62.45,-114.38,48.2,93,75,4.7
41,tadine,-21.55,167.88,76.29,74,100,5.32
42,celestun,20.87,-90.4,82.95,85,100,17.11
43,saldanha,41.42,-6.55,46.41,89,0,5.82
44,saskylakh,71.97,114.09,51.27,44,0,14.97
45,nanortalik,60.14,-45.24,37.41,85,18,0.47
46,bowen,-20.01,148.25,68.0,30,100,18.34
47,altay,47.83,88.13,55.41,55,50,5.59
48,solnechnyy,50.72,136.64,71.07,41,4,5.41
49,upernavik,72.79,-56.15,33.81,89,96,0.96
50,lavrentiya,65.58,-170.99,62.07,39,0,5.97
51,thompson,55.74,-97.86,48.2,81,90,2.24
52,puerto ayora,-0.74,-90.35,73.99,91,35,10.51
53,longyearbyen,78.22,15.63,35.6,74,75,6.93
54,pujili,-0.95,-78.68,48.2,93,75,12.75
55,provideniya,64.42,-173.23,42.8,81,20,8.95
56,sitka,37.17,-99.65,76.65,50,2,8.81
57,nenjiang,49.17,125.23,75.93,37,31,12.39
58,ostrovnoy,68.05,39.51,48.57,85,100,12.28
59,paamiut,61.99,-49.67,39.39,76,81,7.07
60,bluff,-23.58,149.07,67.65,24,100,11.99
61,alice springs,-23.7,133.88,51.8,43,0,17.22
62,tiksi,71.64,128.87,34.89,75,0,13.8
63,san patricio,-26.98,-56.83,52.89,92,0,5.17
64,vanderhoof,54.02,-124.02,54.15,41,58,5.55
65,ous,60.91,61.52,41.55,83,100,15.52
66,maues,-3.38,-57.72,74.13,96,60,0.18
67,visnes,59.36,5.22,59.0,76,95,11.41
68,namibe,-15.19,12.15,70.89,75,0,2.93
69,nabire,-3.36,135.5,83.13,64,100,1.61
70,mandalgovi,45.76,106.27,63.51,23,100,19.15
71,dingle,11.0,122.67,94.47,40,62,9.73
72,rock sound,24.9,-76.2,80.97,80,47,10.96
73,lompoc,34.64,-120.46,64.4,100,90,6.93
74,paka,45.29,18.06,60.01,100,56,3.36
75,georgetown,6.8,-58.16,78.8,88,40,4.7
76,caravelas,-17.73,-39.27,76.11,71,98,14.12
77,puerto madryn,-42.77,-65.04,61.89,45,100,17.52
78,itaperuna,-21.2,-41.89,57.03,83,0,3.24
79,beringovskiy,63.05,179.32,56.49,55,96,11.48
80,markala,13.69,-6.07,91.59,44,14,14.7
81,cabo san lucas,22.89,-109.91,78.01,69,20,11.41
82,santa isabel,4.71,-75.1,75.2,88,75,4.7
83,hobart,-42.88,147.33,53.6,50,75,26.4
84,khislavichi,54.19,32.16,57.57,93,0,7.87
85,taoudenni,22.68,-3.98,90.69,7,36,5.68
86,lagos,6.46,3.39,78.8,88,20,2.24
